Gender,Age,Height,Weight,H_Cal_Consump,Veg_Consump,Water_Consump,Alcohol_Consump,Smoking,Meal_Count,Food_Between_Meals,Fam_Hist,H_Cal_Burn,Phys_Act,Time_E_Dev,Transport,Body_Level
Male,17.0,1.69,60.0,no,2.0,3.0,Sometimes,no,3.0,Sometimes,no,no,2.0,1.0,Walking,Body Level 2
Male,18.0,1.716691,51.149283,yes,1.813234,1.274815,Sometimes,no,3.0,Sometimes,yes,no,0.520407,1.673584,Public_Transportation,Body Level 1
Female,21.0,1.75,88.0,yes,2.0,3.0,Sometimes,no,3.0,Sometimes,yes,no,3.0,0.0,Public_Transportation,Body Level 3
Female,18.743587,1.789143,138.202869,yes,3.0,2.83377,Sometimes,no,3.0,Sometimes,yes,no,0.806422,0.672513,Public_Transportation,Body Level 4
Male,17.491272,1.834637,59.990861,yes,2.943749,2.0,no,no,4.0,Sometimes,yes,no,2.0,0.128895,Automobile,Body Level 1
Male,30.200946,1.755926,112.289883,yes,2.317734,2.152736,no,no,3.0,Sometimes,yes,no,0.0,1.108145,Automobile,Body Level 4
Male,31.398281,1.919543,101.544589,yes,2.0,2.001936,Sometimes,no,1.005391,Sometimes,yes,no,1.0,0.0,Public_Transportation,Body Level 3
Male,31.190219,1.842812,125.973927,yes,2.151335,1.491169,Sometimes,yes,3.0,Sometimes,yes,no,0.883542,0.527766,Public_Transportation,Body Level 4
Male,25.492855,1.770124,114.163921,yes,2.159033,2.116399,Sometimes,no,3.0,Sometimes,yes,no,1.331526,0.052942,Public_Transportation,Body Level 4
Female,24.265943,1.719365,114.511537,yes,3.0,2.987406,Sometimes,no,3.0,Sometimes,yes,no,0.38926,0.526776,Public_Transportation,Body Level 4
Female,20.0,1.58,53.5,yes,2.0,2.0,Sometimes,no,1.0,Frequently,yes,no,1.0,1.0,Public_Transportation,Body Level 2
Female,22.39251,1.65563,121.205171,yes,3.0,1.347559,Sometimes,no,3.0,Sometimes,yes,no,0.462951,0.31794,Public_Transportation,Body Level 4
Female,37.218161,1.593894,63.320629,yes,2.37464,2.0,Sometimes,no,3.0,Sometimes,yes,no,2.892922,0.480813,Automobile,Body Level 3
Female,19.364339,1.80835,150.51648,yes,3.0,2.305574,Sometimes,no,3.0,Sometimes,yes,no,1.734424,0.863043,Public_Transportation,Body Level 4
Female,21.125098,1.767479,56.265959,yes,2.371338,2.263466,no,no,3.998766,Frequently,yes,no,2.0,0.844004,Public_Transportation,Body Level 1
Female,34.204408,1.664927,80.386078,yes,2.0,2.641642,no,no,3.0,Sometimes,yes,no,0.285889,1.50301,Automobile,Body Level 3
Female,21.0,1.55,57.0,yes,2.0,2.0,Sometimes,no,4.0,Frequently,no,yes,2.0,0.0,Automobile,Body Level 2
Male,25.140074,1.829529,120.996581,yes,3.0,3.0,Sometimes,no,3.0,Sometimes,yes,no,1.467863,0.343635,Public_Transportation,Body Level 4
Male,18.0,1.811189,108.800964,yes,2.0,2.121176,no,no,1.250548,Sometimes,yes,no,1.0,0.741069,Public_Transportation,Body Level 4
Male,37.492444,1.835024,92.368359,yes,2.0,2.766674,Sometimes,no,1.672706,Sometimes,yes,no,1.0,0.027093,Automobile,Body Level 3
Male,22.719385,1.746645,96.875502,yes,2.0,2.714091,no,no,3.0,Sometimes,yes,no,2.64102,1.224737,Public_Transportation,Body Level 4
Male,29.509151,1.770663,112.471118,yes,2.303041,2.065817,Sometimes,no,3.0,Sometimes,yes,no,0.0,0.725222,Automobile,Body Level 4
Male,21.0,1.72,72.0,yes,3.0,3.0,Sometimes,no,3.0,Always,yes,yes,3.0,0.0,Automobile,Body Level 2
Male,17.925497,1.829142,59.933015,yes,2.86099,2.0,no,no,4.0,Sometimes,yes,no,2.0,0.007872,Automobile,Body Level 1
Female,38.939448,1.738321,86.934846,yes,2.843709,1.130079,Sometimes,no,3.058539,Sometimes,no,no,2.834373,0.044954,Automobile,Body Level 3
Male,22.549208,1.629194,70.0,yes,2.0,2.803311,Sometimes,no,1.0,no,no,no,0.245354,0.0,Public_Transportation,Body Level 3
Female,18.83919,1.624831,69.975607,yes,2.253998,2.328331,no,no,2.752318,Sometimes,yes,no,0.815509,0.024088,Public_Transportation,Body Level 3
Female,26.0,1.624099,109.978402,yes,3.0,2.523793,Sometimes,no,3.0,Sometimes,yes,no,0.0,0.383953,Public_Transportation,Body Level 4
Female,20.225396,1.550648,44.641796,yes,3.0,1.0,Sometimes,no,2.857787,Frequently,no,no,0.754646,0.0,Public_Transportation,Body Level 1
Male,19.0,1.78,81.0,no,1.0,2.0,no,no,3.0,Sometimes,yes,no,3.0,0.0,Bike,Body Level 3
Female,22.998709,1.740108,53.65727,yes,2.241606,1.846626,no,no,3.0,Frequently,yes,no,2.460238,0.814518,Public_Transportation,Body Level 1
Female,23.035829,1.598612,42.993937,no,2.753752,2.346647,no,no,2.812377,Frequently,no,no,1.612248,0.0,Public_Transportation,Body Level 1
Female,39.648946,1.572791,80.086524,yes,2.071622,1.468297,no,no,2.977909,Sometimes,yes,no,0.0,0.0,Automobile,Body Level 4
Female,23.0,1.634688,82.628,yes,2.060922,2.235282,no,no,2.933409,Sometimes,yes,no,0.380633,0.0026,Public_Transportation,Body Level 4
Male,21.384259,1.780679,89.667406,yes,1.780746,2.0,Sometimes,no,1.471053,Sometimes,yes,no,0.467562,0.568668,Public_Transportation,Body Level 3
Male,23.887569,1.657995,90.0,yes,2.0,3.0,no,no,3.0,Sometimes,yes,no,0.603638,0.969085,Public_Transportation,Body Level 4
Male,26.650419,1.791047,83.26312,yes,1.27785,2.495944,no,no,3.999591,Sometimes,no,no,0.00342,1.0,Automobile,Body Level 3
Female,18.314593,1.745602,133.554686,yes,3.0,2.923792,Sometimes,no,3.0,Sometimes,yes,no,1.536555,0.62535,Public_Transportation,Body Level 4
Female,25.0,1.63,93.0,no,3.0,1.0,no,no,4.0,Always,no,no,2.0,0.0,Public_Transportation,Body Level 4
Female,26.0,1.643355,111.600553,yes,3.0,2.652616,Sometimes,no,3.0,Sometimes,yes,no,0.0,0.250502,Public_Transportation,Body Level 4
Female,22.0,1.68,52.0,yes,3.0,2.0,no,no,3.0,Frequently,no,no,0.0,1.0,Public_Transportation,Body Level 1
Male,22.720449,1.65,89.139209,yes,2.103335,3.0,no,no,2.964024,Sometimes,yes,no,0.632947,1.0,Public_Transportation,Body Level 4
Female,23.0,1.615854,80.615325,yes,2.0,2.0,no,no,1.0,Sometimes,yes,no,0.026142,0.0,Public_Transportation,Body Level 4
Female,21.0,1.66,59.0,yes,1.0,2.0,no,no,3.0,Always,no,yes,3.0,0.0,Automobile,Body Level 2
Male,40.106145,1.760175,117.651046,yes,2.032883,1.726109,Sometimes,no,2.976211,Sometimes,yes,no,0.477855,0.0,Automobile,Body Level 4
Male,18.0,1.820385,108.395005,yes,2.0,2.094479,Sometimes,no,2.164839,Sometimes,yes,no,1.0,0.676557,Public_Transportation,Body Level 4
Male,31.783524,1.672959,90.0,yes,2.949242,2.210997,Sometimes,no,1.782109,Sometimes,yes,no,1.992719,0.0,Automobile,Body Level 4
Male,30.638944,1.680489,102.004554,yes,2.938687,1.251715,no,no,2.138375,Sometimes,yes,no,1.181811,0.778375,Public_Transportation,Body Level 4
Male,20.0,1.6,50.0,no,2.0,2.0,no,yes,4.0,Frequently,yes,no,3.0,2.0,Public_Transportation,Body Level 2
Male,18.0,1.742819,86.565148,yes,3.0,2.0,Sometimes,no,3.0,Sometimes,yes,no,2.040816,0.860321,Public_Transportation,Body Level 3
Male,19.0,1.76,79.0,yes,2.0,3.0,Frequently,no,3.0,Frequently,yes,no,1.0,2.0,Public_Transportation,Body Level 3
Female,35.432059,1.663178,80.135167,yes,2.0,1.992548,no,no,3.0,Sometimes,yes,no,0.039207,1.528714,Automobile,Body Level 3
Male,18.0,1.750097,86.372141,yes,2.907062,2.740848,Sometimes,no,3.0,Sometimes,yes,no,1.219827,0.037634,Public_Transportation,Body Level 3
Male,17.052914,1.710616,99.860254,yes,2.0,2.0,no,no,3.0,Sometimes,yes,no,0.067491,0.894105,Public_Transportation,Body Level 4
Female,23.0,1.64,52.0,yes,3.0,2.0,no,no,1.0,Sometimes,no,no,2.0,2.0,Public_Transportation,Body Level 2
Female,39.392569,1.706349,85.720788,yes,2.944287,2.442775,no,no,1.466393,Sometimes,yes,no,0.675262,0.779334,Automobile,Body Level 3
Male,25.696736,1.814696,107.55963,yes,2.921225,2.869439,Sometimes,no,3.0,Sometimes,yes,no,0.181753,0.133523,Public_Transportation,Body Level 4
Male,22.889099,1.792533,116.157766,yes,1.996646,2.0,Sometimes,no,3.0,Sometimes,yes,no,1.600536,0.739684,Public_Transportation,Body Level 4
Female,25.988668,1.621671,105.313967,yes,3.0,1.042989,Sometimes,no,3.0,Sometimes,yes,no,0.097114,0.42954,Public_Transportation,Body Level 4
Female,20.0,1.6,50.0,yes,2.0,1.0,no,no,3.0,Sometimes,no,no,0.0,1.0,Automobile,Body Level 2
Female,40.702771,1.548403,80.0,yes,2.0,1.326165,Sometimes,no,3.0,Sometimes,yes,no,0.0,0.0,Automobile,Body Level 4
Female,22.480889,1.605662,82.470375,yes,1.557287,2.371015,Sometimes,no,1.0,Sometimes,yes,no,0.288032,2.0,Public_Transportation,Body Level 4
Female,29.32038,1.642506,69.906708,yes,2.366949,1.926577,Sometimes,no,3.0,Sometimes,yes,no,1.581242,0.0,Automobile,Body Level 3
Male,19.524698,1.942725,121.657979,yes,2.0,3.0,Sometimes,no,3.0,Sometimes,yes,no,1.0,1.014808,Public_Transportation,Body Level 4
Female,19.0,1.69,70.0,no,2.0,2.0,no,no,1.0,no,yes,no,2.0,0.0,Public_Transportation,Body Level 2
Male,21.81119,1.71266,51.598593,yes,3.0,1.253803,no,no,3.156153,Frequently,yes,no,0.544784,0.256382,Public_Transportation,Body Level 1
Male,21.688557,1.807029,105.696358,yes,2.055209,2.885852,Sometimes,no,3.0,Sometimes,yes,no,0.903369,0.14451,Public_Transportation,Body Level 4
Male,20.986834,1.677178,80.379575,yes,2.0,2.0,no,no,2.961706,Sometimes,yes,no,1.661556,1.114716,Public_Transportation,Body Level 3
Female,18.0,1.56,55.0,yes,2.0,1.0,Frequently,no,3.0,Sometimes,no,no,0.0,0.0,Automobile,Body Level 2
Female,18.301773,1.808765,140.292018,yes,3.0,2.830247,Sometimes,no,3.0,Sometimes,yes,no,1.783138,0.789064,Public_Transportation,Body Level 4
Male,19.0,1.7,50.0,yes,1.0,1.0,Sometimes,no,4.0,Frequently,no,no,2.0,1.0,Public_Transportation,Body Level 1
Male,24.622054,1.756509,117.368716,yes,1.451337,2.0,Sometimes,no,3.0,Sometimes,yes,no,1.384607,0.631217,Public_Transportation,Body Level 4
Female,18.827008,1.7,50.0,yes,1.0,1.0,Sometimes,no,3.240578,Sometimes,no,no,2.0,1.0,Public_Transportation,Body Level 1
Male,22.0,1.78,89.8,no,2.0,2.0,Sometimes,no,1.0,Sometimes,no,no,0.0,0.0,Public_Transportation,Body Level 3
Female,23.0,1.665199,83.15115,yes,2.928234,2.777379,no,no,1.458507,Sometimes,yes,no,0.354541,1.707018,Public_Transportation,Body Level 4
Male,23.0,1.62,53.0,yes,2.0,2.0,Sometimes,no,3.0,Sometimes,yes,no,1.0,1.0,Public_Transportation,Body Level 2
Male,29.620095,1.787933,112.536367,yes,2.008245,2.040137,Sometimes,no,3.0,Sometimes,yes,no,0.0,0.474216,Automobile,Body Level 4
Male,19.0,1.78,64.0,yes,2.0,1.0,no,no,3.0,Sometimes,no,no,1.0,0.0,Public_Transportation,Body Level 2
Male,30.553097,1.780448,88.431954,yes,2.0,1.791286,Sometimes,no,1.178708,Sometimes,yes,no,0.893362,0.276364,Public_Transportation,Body Level 3
Male,31.56724,1.753327,118.26569,yes,2.232836,2.146398,Sometimes,no,3.0,Sometimes,yes,no,0.886817,0.47787,Automobile,Body Level 4
Male,22.283082,1.870931,89.251639,yes,2.0,1.081333,Sometimes,no,2.799979,Sometimes,yes,no,0.444347,1.0,Public_Transportation,Body Level 3
Male,29.883021,1.779049,112.438508,yes,2.065752,2.078297,Sometimes,no,3.0,Sometimes,yes,no,0.0,0.677354,Automobile,Body Level 4
Female,24.0,1.62,58.0,yes,3.0,2.0,Sometimes,no,3.0,Sometimes,no,no,1.0,1.0,Public_Transportation,Body Level 2
Male,26.0,1.91,84.0,yes,3.0,2.0,Frequently,yes,3.0,Frequently,yes,no,2.0,2.0,Public_Transportation,Body Level 2
Male,25.539411,1.787052,115.428276,yes,1.992889,2.141271,Sometimes,no,3.0,Sometimes,yes,no,1.121038,0.0,Public_Transportation,Body Level 4
Male,21.0,1.612556,69.463458,yes,2.0,3.0,Sometimes,no,1.259628,no,no,no,1.0,0.0,Public_Transportation,Body Level 3
Male,17.120699,1.809251,58.968994,yes,2.524428,2.0,no,no,4.0,Sometimes,yes,no,2.0,0.03838,Automobile,Body Level 1
Male,31.0,1.76,75.0,no,3.0,3.0,no,no,3.0,Always,yes,yes,3.0,0.0,Bike,Body Level 2
Female,19.0,1.65,56.0,yes,3.0,3.0,Frequently,yes,3.0,Frequently,yes,yes,1.0,2.0,Public_Transportation,Body Level 2
Female,21.0,1.6,68.0,yes,2.0,3.0,Sometimes,no,3.0,Sometimes,yes,no,1.0,0.0,Public_Transportation,Body Level 3
Male,17.570089,1.7,83.199034,no,2.097373,1.538626,no,no,2.547086,Sometimes,yes,no,1.0,0.761898,Public_Transportation,Body Level 3
Male,25.447208,1.65891,104.548794,yes,2.859097,1.530508,no,no,1.340361,Sometimes,yes,no,0.174475,1.261705,Public_Transportation,Body Level 4
Male,25.0,1.66,68.0,yes,2.0,1.0,Sometimes,yes,3.0,Sometimes,no,no,1.0,1.0,Public_Transportation,Body Level 2
Male,17.908114,1.793926,59.682591,yes,2.568063,2.0,no,no,4.0,Sometimes,yes,no,2.0,0.220029,Automobile,Body Level 1
Male,22.908879,1.876898,121.277832,yes,2.630137,1.970508,Sometimes,no,2.806298,Sometimes,yes,no,1.304291,0.0,Public_Transportation,Body Level 4
Female,25.483381,1.565288,64.848627,no,2.0,1.0,no,no,1.0,Sometimes,yes,no,0.740633,0.0,Public_Transportation,Body Level 3
Male,32.610018,1.742538,83.390983,yes,2.247704,1.919629,no,no,3.053598,Sometimes,yes,no,0.408023,0.0,Automobile,Body Level 3
Female,16.0,1.6,57.0,yes,3.0,1.0,no,no,3.0,Sometimes,no,no,3.0,0.0,Public_Transportation,Body Level 2
Male,23.237302,1.761008,97.829344,yes,2.0,2.988771,no,no,3.0,Sometimes,yes,no,2.429923,1.978043,Public_Transportation,Body Level 4
Female,17.764764,1.78656,50.0,yes,2.784464,1.0,Sometimes,no,4.0,Sometimes,no,no,2.0,1.0,Public_Transportation,Body Level 1
Female,20.796266,1.796538,152.473675,yes,3.0,2.322003,Sometimes,no,3.0,Sometimes,yes,no,0.886602,0.843283,Public_Transportation,Body Level 4
Female,25.42724,1.683502,104.759643,yes,3.0,1.525127,Sometimes,no,3.0,Sometimes,yes,no,0.220825,0.896105,Public_Transportation,Body Level 4
Male,30.0,1.8,91.0,yes,2.0,2.0,Sometimes,no,3.0,Frequently,yes,no,0.0,0.0,Public_Transportation,Body Level 3
Female,20.801791,1.721476,131.042274,yes,3.0,1.837184,Sometimes,no,3.0,Sometimes,yes,no,1.525165,0.926443,Public_Transportation,Body Level 4
Male,21.033794,1.625891,70.0,yes,2.0,2.00876,Sometimes,no,1.0,no,no,no,0.63119,0.0,Public_Transportation,Body Level 3
Female,36.310292,1.701397,83.0,yes,2.0,2.0,no,no,1.0,Sometimes,yes,no,1.472172,0.0,Automobile,Body Level 3
Female,26.0,1.654784,111.933152,yes,3.0,2.770125,Sometimes,no,3.0,Sometimes,yes,no,0.0,0.088236,Public_Transportation,Body Level 4
Female,21.0,1.55,58.0,yes,2.0,1.0,Sometimes,no,1.0,Sometimes,no,no,1.0,0.0,Public_Transportation,Body Level 2
Male,21.731497,1.696201,75.399191,yes,2.109162,1.971774,Sometimes,no,3.245148,Sometimes,yes,no,0.989335,0.0,Public_Transportation,Body Level 3
Male,26.684354,1.819535,118.332689,yes,1.975675,2.357969,Sometimes,no,3.0,Sometimes,yes,no,0.704236,0.010721,Public_Transportation,Body Level 4
Male,30.722801,1.779325,120.751656,yes,2.519592,2.229145,Sometimes,no,3.0,Sometimes,yes,no,0.350717,1.140348,Automobile,Body Level 4
Female,19.17614,1.666194,124.805868,yes,3.0,1.228838,Sometimes,no,3.0,Sometimes,yes,no,0.792553,0.639561,Public_Transportation,Body Level 4
Female,21.521294,1.803677,160.639405,yes,3.0,2.404049,Sometimes,no,3.0,Sometimes,yes,no,0.427905,0.639894,Public_Transportation,Body Level 4
Female,18.48207,1.7,50.0,yes,1.592183,1.086391,Sometimes,no,3.535016,Sometimes,no,no,0.618913,1.0,Public_Transportation,Body Level 1
Female,16.910997,1.74823,49.928447,yes,2.494451,1.491268,Sometimes,no,3.56544,Sometimes,no,no,1.951027,0.956204,Public_Transportation,Body Level 1
Male,41.0,1.8,99.0,yes,2.0,2.0,Frequently,no,3.0,Sometimes,no,no,2.0,1.0,Automobile,Body Level 4
Female,18.0,1.67,66.0,yes,3.0,2.0,Sometimes,no,3.0,Sometimes,no,no,0.0,0.0,Public_Transportation,Body Level 2
Male,18.0,1.87,67.0,yes,3.0,3.0,Sometimes,no,3.0,Frequently,yes,yes,1.0,1.0,Automobile,Body Level 2
Male,18.014333,1.751029,80.0,yes,2.0,2.122884,Frequently,no,2.805436,Sometimes,yes,no,0.045651,0.017225,Public_Transportation,Body Level 3
Male,21.0,1.8,75.0,yes,3.0,1.0,Sometimes,no,3.0,Frequently,yes,no,2.0,0.0,Public_Transportation,Body Level 2
Male,26.050109,1.773115,115.089316,yes,2.392179,2.16467,Sometimes,no,3.0,Sometimes,yes,no,1.079934,1.073026,Public_Transportation,Body Level 4
Male,29.0,1.77,83.0,yes,1.0,3.0,no,no,4.0,Frequently,no,no,0.0,1.0,Motorbike,Body Level 3
Female,21.849705,1.770612,133.963349,yes,3.0,2.825629,Sometimes,no,3.0,Sometimes,yes,no,1.399183,0.928972,Public_Transportation,Body Level 4
Male,23.285553,1.717775,85.312639,yes,2.951591,2.971557,Sometimes,no,3.0,Sometimes,yes,no,0.0,0.947192,Public_Transportation,Body Level 3
Female,30.0,1.71,82.0,yes,3.0,1.0,no,yes,4.0,Frequently,yes,no,0.0,0.0,Automobile,Body Level 3
Female,22.637018,1.703584,51.607091,yes,2.55996,1.990788,no,no,3.0,Frequently,yes,no,0.486006,1.561272,Public_Transportation,Body Level 1
Female,30.711381,1.536819,65.912688,no,2.030256,1.984323,no,no,2.948721,Sometimes,yes,no,0.986414,0.333673,Public_Transportation,Body Level 3
Female,18.0,1.6,51.0,yes,2.0,1.0,Sometimes,no,3.0,Frequently,yes,no,1.0,1.0,Public_Transportation,Body Level 2
Male,23.0,1.7,69.0,yes,3.0,1.0,Sometimes,no,1.0,Frequently,no,no,2.0,1.0,Public_Transportation,Body Level 2
Male,26.699317,1.839941,119.956651,yes,2.244654,2.795752,Sometimes,no,3.0,Sometimes,yes,no,0.839481,0.0,Public_Transportation,Body Level 4
Male,21.0,1.605404,68.226511,yes,2.0,3.0,Sometimes,no,1.9154,no,no,no,1.0,0.0,Public_Transportation,Body Level 3
Female,21.0,1.754813,77.929204,yes,2.915279,1.530046,Sometimes,no,1.104642,Sometimes,yes,no,1.360635,0.0,Public_Transportation,Body Level 3
Female,18.988581,1.544263,41.535047,yes,2.68601,1.310074,Sometimes,no,1.0,Sometimes,no,no,0.0,1.0647,Public_Transportation,Body Level 1
Male,22.0,1.88,90.0,yes,2.0,1.0,Sometimes,no,3.0,Always,yes,no,0.0,1.0,Automobile,Body Level 3
Female,25.470652,1.680218,104.807284,yes,3.0,1.423073,Sometimes,no,3.0,Sometimes,yes,no,0.197993,0.763359,Public_Transportation,Body Level 4
Male,30.304203,1.703202,103.0344,yes,2.754645,1.541733,no,no,2.175432,Sometimes,yes,no,0.358709,1.0739,Public_Transportation,Body Level 4
Female,20.0,1.625236,74.433362,no,2.522399,2.397653,Sometimes,no,1.032887,Sometimes,yes,no,2.358699,0.440087,Public_Transportation,Body Level 3
Female,22.061461,1.6,82.040318,yes,1.362441,2.166228,no,no,2.57038,Sometimes,yes,no,2.232851,1.281141,Public_Transportation,Body Level 4
Female,21.704699,1.787614,137.858254,yes,3.0,2.531456,Sometimes,no,3.0,Sometimes,yes,no,1.980738,0.835771,Public_Transportation,Body Level 4
Male,21.0,1.62,70.0,yes,2.0,3.0,Sometimes,no,1.0,no,no,no,1.0,0.0,Public_Transportation,Body Level 3
Male,23.0,1.8,90.0,yes,1.0,2.0,Frequently,no,3.0,Always,yes,no,0.0,2.0,Public_Transportation,Body Level 3
Female,19.773303,1.602082,45.0,no,3.0,2.875583,Sometimes,no,3.0,Frequently,no,yes,1.258504,0.0,Public_Transportation,Body Level 1
Male,35.389491,1.78,100.84763,yes,2.069267,3.0,Frequently,no,1.476204,Sometimes,yes,no,2.05252,0.092736,Automobile,Body Level 4
Male,24.184891,1.768834,97.449743,yes,2.0,2.973729,no,no,3.0,Sometimes,yes,no,2.491642,1.36595,Public_Transportation,Body Level 4
Male,23.0,1.690196,75.0,yes,2.620963,2.824559,Sometimes,no,3.0,Sometimes,yes,no,0.754599,2.0,Public_Transportation,Body Level 3
Female,39.965474,1.739293,80.914382,yes,2.416044,1.352649,Sometimes,no,3.196043,Sometimes,no,no,0.148628,1.08266,Automobile,Body Level 3
Female,38.692265,1.548178,62.341438,yes,2.956671,2.868132,Sometimes,no,2.965494,Sometimes,yes,no,0.0,0.54925,Automobile,Body Level 3
Male,24.178638,1.86741,121.684311,yes,2.954417,2.104696,Sometimes,no,2.65772,Sometimes,yes,no,0.870056,0.0,Public_Transportation,Body Level 4
Male,30.403205,1.696365,102.815983,yes,2.79166,1.254589,no,no,2.13229,Sometimes,yes,no,0.652736,1.040713,Public_Transportation,Body Level 4
Male,21.72127,1.712163,98.699971,yes,2.0,2.205977,no,no,2.977543,Sometimes,yes,no,2.698874,2.0,Public_Transportation,Body Level 4
Female,28.167799,1.658202,78.0,yes,2.938031,1.931242,Frequently,no,1.532833,Sometimes,yes,no,0.525002,0.371941,Automobile,Body Level 3
Female,21.814653,1.611822,67.140367,yes,1.874935,2.558773,Sometimes,no,3.370362,Sometimes,yes,no,1.206121,0.271024,Public_Transportation,Body Level 3
Female,19.0,1.63,58.0,no,3.0,2.0,no,no,3.0,Sometimes,no,yes,0.0,0.0,Public_Transportation,Body Level 2
Female,31.386405,1.556579,78.233341,yes,2.13683,1.505381,Sometimes,no,2.092179,Sometimes,yes,no,0.0,0.0,Public_Transportation,Body Level 4
Female,40.0,1.55,62.0,no,3.0,3.0,Sometimes,no,3.0,Sometimes,yes,no,0.0,0.0,Automobile,Body Level 3
Male,21.0,1.62,70.0,yes,2.0,3.0,Sometimes,no,1.0,no,no,no,1.0,0.0,Public_Transportation,Body Level 3
Female,18.270434,1.737165,76.699774,yes,2.838969,2.425927,Frequently,no,3.0,Sometimes,yes,no,1.0,1.453335,Public_Transportation,Body Level 3
Female,21.785351,1.675054,49.945233,yes,2.929889,2.792074,no,no,3.0,Frequently,yes,no,0.630944,1.366355,Public_Transportation,Body Level 1
Female,18.0,1.498561,55.376512,yes,2.0,1.274718,Sometimes,no,3.0,Sometimes,no,yes,0.129902,0.978574,Public_Transportation,Body Level 3
Female,19.137495,1.716521,127.642324,yes,3.0,1.313834,Sometimes,no,3.0,Sometimes,yes,no,0.912334,0.707494,Public_Transportation,Body Level 4
Male,19.816949,1.806947,85.079589,yes,2.0,2.292073,Sometimes,no,3.0,Sometimes,yes,no,1.067817,0.19668,Public_Transportation,Body Level 3
Female,38.895069,1.549257,80.0,yes,2.736628,1.385175,Sometimes,no,1.130751,Sometimes,yes,no,1.666965,0.0,Automobile,Body Level 4
Male,17.0,1.8,97.0,yes,2.0,3.0,Sometimes,no,3.0,Sometimes,yes,no,1.0,1.0,Walking,Body Level 3
Male,29.695603,1.842943,93.798055,yes,2.133955,1.753464,Sometimes,no,2.902766,Sometimes,yes,no,1.729987,1.0,Public_Transportation,Body Level 3
Male,22.94313,1.819614,93.086419,yes,1.882235,2.0,Sometimes,no,1.240046,Sometimes,yes,no,0.0,1.541493,Public_Transportation,Body Level 3
Female,18.0,1.704193,50.631889,yes,2.0,2.0,Sometimes,no,3.0,Sometimes,no,no,0.0,1.525597,Public_Transportation,Body Level 1
Female,30.613586,1.645511,69.168978,yes,2.000466,1.131448,Sometimes,no,3.0,Sometimes,yes,no,0.061366,0.0,Automobile,Body Level 3
Male,24.920362,1.796415,120.988454,yes,2.475892,2.949356,Sometimes,no,3.0,Sometimes,yes,no,1.866839,0.100048,Public_Transportation,Body Level 4
Male,23.884212,1.713825,83.952968,yes,2.0,1.810738,Sometimes,no,2.6648,Sometimes,yes,no,0.80989,1.0,Public_Transportation,Body Level 3
